cap_id,name,l1_domain,l2_group,industry,description,workflows,stakeholders,regulations,technologies,competitors,integrations,findings,maturity,confidence
CAP-001,Farmer registration & profiling,Agriculture,Farm Operations,agriculture,Register farmers with identity/plot/household data,WF-001;WF-002,STK-028;STK-001,REG-0024,TECH-130;TECH-150,CMP-0247;CMP-0002,INT-032;INT-115,F-0053,Established,72
CAP-002,Land & plot mapping,Agriculture,Farm Operations,agriculture,Capture and map field boundaries/plots,WF-003,STK-028;STK-034,,TECH-047;TECH-059,CMP-0013;CMP-0135,INT-057;INT-062,F-0075,Established,72
CAP-003,Soil management & testing,Agriculture,Crop Management,agriculture,Record soil tests and fertility management,WF-004;WF-011,STK-028;STK-034,,TECH-098;TECH-024,CMP-0134;CMP-0006,INT-085,F-0053,Established,66
CAP-004,Crop planning & calendar,Agriculture,Crop Management,agriculture,Plan crops seasons and activities,WF-005,STK-028;STK-034,,TECH-026,CMP-0144;CMP-0002,,F-0053,Established,68
CAP-005,Planting & activity records,Agriculture,Crop Management,agriculture,Log planting and field activities,WF-006,STK-028,,TECH-131;TECH-127,CMP-0144,INT-127,F-0033,Established,68
CAP-006,Input management,Agriculture,Crop Management,agriculture,Track seed/fertiliser/agrochemical use,WF-007;WF-011,STK-028;STK-032,REG-0016,TECH-131,CMP-0002;CMP-0247,,F-0053,Established,68
CAP-007,Pest & disease scouting,Agriculture,Crop Management,agriculture,Detect and record pests/diseases,WF-013;WF-015,STK-028;STK-034,,TECH-015;TECH-001,CMP-0001;CMP-0135,INT-091,F-0075,Growing,70
CAP-008,Spraying & treatment records,Agriculture,Crop Management,agriculture,Record chemical applications and compliance,WF-016,STK-028,REG-0016,TECH-073;TECH-082,CMP-0143,,F-0053,Established,64
CAP-009,Irrigation scheduling,Agriculture,Irrigation,agriculture,Schedule irrigation from soil/weather data,WF-012;WF-019,STK-028;STK-029,REG-0019,TECH-098;TECH-026,CMP-0135;CMP-0134,INT-046;INT-048,F-0076,Growing,66
CAP-010,Irrigation control (automation),Agriculture,Irrigation,agriculture,Automate irrigation actuation,WF-012,STK-029,REG-0019,TECH-084;TECH-089,CMP-0143,INT-085,F-0076,Emerging,58
CAP-011,Mechanisation & equipment booking,Agriculture,Mechanisation,agriculture,Book and manage farm machinery,WF-024,STK-028;STK-032,,TECH-101,CMP-0011,INT-104,F-0053,Growing,64
CAP-012,Harvest recording,Agriculture,Farm Operations,agriculture,Record harvest quantities and dates,WF-025,STK-028,,TECH-131,CMP-0144,,F-0033,Established,66
CAP-013,Yield estimation,Agriculture,Crop Management,agriculture,Estimate yields from records/remote sensing,WF-025,STK-028;STK-029,,TECH-060;TECH-070,CMP-0013;CMP-0136,INT-066,F-0075,Growing,64
CAP-014,Post-harvest handling,Agriculture,Warehousing,agriculture,Manage drying/grading/handling,WF-026,STK-028;STK-031,REG-0016,TECH-103,CMP-0146,,F-0033,Established,60
CAP-015,Storage & warehousing,Agriculture,Warehousing,agriculture,Track stored commodities and conditions,WF-026;WF-027,STK-031;STK-055,,TECH-103;TECH-102,CMP-0221;CMP-0146,INT-085,F-0067,Established,64
CAP-016,Warehouse receipt issuance,Agriculture,Warehousing,agriculture,Issue and manage warehouse receipts,WF-027,STK-031;STK-060,REG-0012,TECH-130,CMP-0034,INT-034,F-0067,Established,66
CAP-017,Grading & quality assurance,Agriculture,Warehousing,agriculture,Grade produce to standards,WF-026,STK-031;STK-036,REG-0016,TECH-015,CMP-0034,,F-0033,Established,60
CAP-018,Commodity listing & trading,Agriculture,Commodity Trading,agriculture,List and trade commodities/match buyers,WF-028;WF-029,STK-031;STK-030,REG-0012,TECH-130,CMP-0034;CMP-0010,INT-034,F-0054,Established,64
CAP-019,Price discovery & market info,Agriculture,Marketplace,agriculture,Disseminate market prices,WF-029,STK-028;STK-030,,TECH-150;TECH-121,CMP-0003;CMP-0014,INT-091,F-0054,Established,68
CAP-020,Produce marketplace ordering,Agriculture,Marketplace,agriculture,Order inputs/produce online,WF-029,STK-028;STK-032,,TECH-108,CMP-0002;CMP-0010,INT-006,F-0054,Established,66
CAP-021,Cooperative membership management,Agriculture,Cooperatives,agriculture,Manage cooperative members,WF-030,STK-031;STK-028,REG-0013,TECH-130,CMP-0108,,F-0053,Established,62
CAP-022,Cooperative aggregation & bulk input,Agriculture,Cooperatives,agriculture,Aggregate produce and bulk-buy inputs,WF-030,STK-031;STK-032,REG-0013,TECH-130,CMP-0012,INT-006,F-0054,Established,62
CAP-023,Extension advisory delivery,Agriculture,Extension,agriculture,Deliver agronomic advice,WF-038;WF-039,STK-034;STK-028,,TECH-001;TECH-021,CMP-0001;CMP-0002,INT-091;INT-092,F-0055,Growing,68
CAP-024,Weather advisory,Agriculture,Extension,agriculture,Provide weather-based advisories,WF-019;WF-038,STK-028;STK-034,,TECH-026,CMP-0141;CMP-0001,INT-047;INT-048,F-0076,Established,66
CAP-025,Farmer credit scoring,Agriculture,Finance,agriculture,Score farmer creditworthiness,WF-037,STK-028;STK-060,REG-0031,TECH-024;TECH-025,CMP-0009;CMP-0138,INT-003,F-0054,Growing,62
CAP-026,Input credit & financing,Agriculture,Finance,agriculture,Provide inputs on credit,WF-037,STK-028;STK-069,REG-0031,TECH-130,CMP-0009;CMP-0138,INT-003;INT-004,F-0054,Growing,64
CAP-027,Produce/value-chain finance,Agriculture,Finance,agriculture,Finance against produce/receipts,WF-037,STK-060;STK-031,REG-0012;REG-0031,TECH-130,CMP-0012;CMP-0034,INT-034,F-0067,Growing,60
