tech_id,name,domain,category,maturity,zambia_applicability,offline_capable,connectivity,licensing,vendors_or_oss,industries,workflows_supported,evidence,confidence
TECH-001,Llama 4 (Scout/Maverick),AI,LLM (MoE multimodal),Growing,Medium,P,online/edge,OSS (Meta license),Meta / self-host vLLM,X,advisory/IDP/RAG,SRC-0109,74
TECH-002,Mistral / Mixtral,AI,LLM (MoE),Mature,Medium,P,online/edge,OSS (Apache 2.0)+commercial,Mistral AI,X,advisory/RAG,SRC-0109,74
TECH-003,Qwen (incl. Qwen-VL),AI,LLM (multilingual/VL),Growing,Medium,P,online/edge,OSS,Alibaba,X,advisory/vision,SRC-0109,72
TECH-004,DeepSeek,AI,LLM (reasoning),Growing,Medium,N,online,OSS,DeepSeek,X,advisory,SRC-0109,70
TECH-005,Gemma,AI,SLM (on-device),Growing,High,Y,edge,OSS,Google,X,on-device advisory,SRC-0109,74
TECH-006,Phi,AI,SLM (on-device),Growing,High,Y,edge,OSS,Microsoft,X,on-device advisory,SRC-0109,74
TECH-007,Command R,AI,LLM (RAG-optimised),Growing,Low,N,online,Commercial+some OSS,Cohere,X,knowledge assistant,SRC-0109,68
TECH-008,vLLM,AI,Inference serving,Mature,Medium,P,self-host,OSS,vLLM,X,model serving,SRC-0108,74
TECH-009,Ollama,AI,Local inference,Growing,High,Y,offline,OSS,Ollama,X,on-device LLM,SRC-0108,74
TECH-010,Hugging Face TGI,AI,Inference serving,Mature,Medium,P,self-host,OSS,Hugging Face,X,model serving,SRC-0108,70
TECH-011,NVIDIA Triton,AI,Inference serving,Mature,Low,P,self-host,OSS,NVIDIA,X,model serving,SRC-0108,68
TECH-012,LangGraph,AI,Agent framework,Growing,Medium,N,online,OSS,LangChain,X,multi-agent workflows,SRC-0108,70
TECH-013,CrewAI,AI,Multi-agent framework,Emerging,Low,N,online,OSS,CrewAI,X,multi-agent,SRC-0108,66
TECH-014,Microsoft Agent Framework,AI,Agent framework,Emerging,Low,N,online,OSS/Commercial,Microsoft,X,enterprise agents,SRC-0108,64
TECH-015,YOLO (v8-v12),AI,Computer vision (detection),Mature,High,Y,edge,OSS,Ultralytics,A/M/C/E,scouting/inspection/pest,SRC-0108,76
TECH-016,Segment Anything (SAM),AI,Computer vision (segmentation),Growing,Medium,P,edge/cloud,OSS,Meta,A/E,image segmentation,SRC-0108,68
TECH-017,OpenCV,AI,Computer vision library,Mature,High,Y,offline,OSS,OpenCV,X,image processing,SRC-0081,74
TECH-018,Tesseract OCR,AI,OCR,Mature,High,Y,offline,OSS,Tesseract,X,document capture (GIN/permits),SRC-0108,72
TECH-019,PaddleOCR,AI,OCR,Growing,High,Y,offline,OSS,Baidu,X,document capture,SRC-0108,70
TECH-020,AWS Textract / Azure Doc Intelligence,AI,Intelligent Document Processing,Mature,Low,N,online,Commercial,AWS/Microsoft,X,IDP (invoices/forms),SRC-0108,70
TECH-021,Whisper,AI,Speech recognition (ASR),Mature,High,Y,edge,OSS,OpenAI,X,voice advisory (local languages),SRC-0108,72
