stakeholder_id,name,category,industry,geography,mandate_role,authority_level,services,info_produced,systems,licences_issued_required,regulatory_obligations,workflows,pain_points,digital_maturity,influence,evidence
STK-001,Ministry of Agriculture,Government,Agriculture,National,Agri policy; FISP; extension; crop surveys,High,FISP, extension, surveys,crop forecast, FISP data,ZIAMIS,Seed/fertilizer registration,administers agri Acts,WF-007/025/035/038,capacity; data quality,Medium,Critical,SRC-0020;SRC-0045
STK-002,Ministry of Mines & Minerals Development,Government,Mining,National,Mining policy; ASM; cadastre (now MRC),High,licensing policy,production stats,Mining Cadastre/ZIMIS,mining rights,MRCA/GMDA,WF-M01/M02,capacity,Medium,Critical,SRC-0017;SRC-0064
STK-003,Ministry of Infrastructure/Housing & Urban Dev,Government,Construction,National,Infrastructure & housing policy,High,public works,project data,-,building policy,NCC/procurement,WF-C01,funding,Low,High,SRC-0068
STK-004,Ministry of Green Economy & Environment,Government,Environmental,National,Environment policy,High,policy,SoE reports,-,EMA,EMA/EIA,WF-E01,capacity,Low,High,SRC-0069
STK-005,Ministry of Transport & Logistics,Government,Logistics,National,Transport & corridor policy,High,corridor development,transport data,-,transport policy,corridor agreements,WF-L15,funding,Low,High,SRC-0041
STK-006,Ministry of Finance & National Planning,Government,Cross,National,Budget; 8NDP; debt,Critical,budgets,budget/NDP,IFMIS,-,PFM,all (policy),fiscal space,Medium,Critical,SRC-0015
STK-007,Ministry of Commerce Trade & Industry,Government,Cross,National,Trade/industry; SEZ; standards/competition oversight,High,trade policy,-,-,-,CCPC/ZABS oversight,WF-L(SEZ),coordination,Low,High,SRC-0088;SRC-0103
STK-008,Local Authorities (city/municipal/district councils),Government,Construction/Env,Provincial/District,Planning permission; building; waste,High,permits, waste,permits,-,building permit; occupancy,by-laws,WF-C03/E09,capacity/funding,Low,High,SRC-0068
STK-009,Minerals Regulation Commission (MRC),Regulator,Mining,National,Mining rights; monitoring; enforcement,Critical,licensing,licences,cadastre,mining rights,MRCA 2024,WF-M02/M11/M12,new-body transition,Medium,Critical,SRC-0064
STK-010,ZEMA,Regulator,Environmental/Cross,National,EIA/SEA; pollution control; audits,Critical,EIA approval,decision letters,ZEMA systems,EIA authorisation,EMA 2011,WF-E01..E12,capacity; audit backlog,Medium,Critical,SRC-0069
STK-011,WARMA,Regulator,Water/Cross,National/Basin,Water permits; monitoring,High,water permits,permit data,My-WARMA,water permit,WRMA 2011,WF-E06/WF-012,monitoring capacity,Medium,High,SRC-0070
STK-012,NWASCO,Regulator,Water utilities,National,Water/sanitation utility regulation,High,utility regulation,performance reports,-,utility licence,W&S Act,WF-E07,utility performance,Low,Medium,SRC-0070
STK-013,National Council for Construction (NCC),Regulator,Construction,National,Contractor registration/grading,High,registration/grading,contractor register,NCC portal,contractor registration,NCC Act 2003,WF-C05,unregistered firms,Medium,High,SRC-0067
STK-014,Engineering Institution of Zambia (EIZ),Regulator/Professional,Construction/Cross,National,Engineering profession regulation,High,engineer registration,register,portal,engineer licence,EIZ Act 2010,WF-C02/C11,capacity,Medium,High,SRC-0021
STK-015,Zambia Bureau of Standards (ZABS),Regulator,Cross,National,National standards; certification,High,standards/certification,standards,-,product certification,Standards Act 2017,WF-C11/031,catalogue coverage,Medium,High,SRC-0016
STK-016,Zambia Public Procurement Authority (ZPPA),Regulator,Cross,National,Public procurement regulation; e-GP,High,procurement regulation,procurement data,e-GP,bidder participation,PPA 2020,WF-C04,e-GP adoption,High,High,SRC-0102
