integ_id,name,domain,owner_org,purpose,api_available,protocol_style,auth_method,licensing,geographic_availability,zambia_applicability,doc_url,evidence,confidence
INT-001,Bank of Zambia RTGS (ZIPSS),Financial,Bank of Zambia,National real-time gross settlement,Restricted,ISO 20022/proprietary,Bank credentials/PKI,Regulated,Zambia,High (banks only),https://www.boz.zm/,SRC-0084,60
INT-002,National Financial Switch (NFS),Financial,Bank of Zambia,Interbank card/retail switch,Restricted,ISO 8583/20022,Member credentials,Regulated,Zambia,High,https://www.boz.zm/,SRC-0084,58
INT-003,MTN MoMo API,Financial,MTN Zambia,Mobile money collections/disbursements,Yes,REST,OAuth2/API key,Commercial,Africa,High,https://momodeveloper.mtn.com/,SRC-0084,72
INT-004,Airtel Money API,Financial,Airtel Zambia,Mobile money collections/disbursements,Yes,REST,OAuth2/API key,Commercial,Africa,High,https://developers.airtel.africa/,SRC-0084,70
INT-005,Zamtel Kwacha,Financial,Zamtel,Mobile money,Partial,REST,API key,Commercial,Zambia,Medium,https://www.zamtel.zm/,SRC-0084,58
INT-006,Africa's Talking Payments,Financial,Africa's Talking,Mobile money + card aggregation (300M+ accounts),Yes,REST,API key,Commercial,Africa,High,https://africastalking.com/payments,SRC-0120,74
INT-007,Flutterwave,Financial,Flutterwave,Pan-African payment gateway,Yes,REST,API key/OAuth2,Commercial,Africa/Global,Medium,https://developer.flutterwave.com/,SRC-0084,68
INT-008,Paystack,Financial,Paystack (Stripe),Payment gateway,Yes,REST,API key,Commercial,Africa,Medium,https://paystack.com/docs/,SRC-0084,66
INT-009,DPO Group,Financial,DPO/Network Intl,Pan-African payment gateway,Yes,REST/XML,API key,Commercial,Africa,Medium,https://dpogroup.com/,SRC-0084,60
INT-010,Cellulant Tingg,Financial,Cellulant,Payments aggregation,Yes,REST,API key,Commercial,Africa,Medium,https://tingg.africa/,SRC-0084,58
INT-011,Stripe,Financial,Stripe,Global online payments,Yes,REST,API key,Commercial,Global,Low-Medium,https://stripe.com/docs/api,SRC-0084,66
INT-012,PayPal,Financial,PayPal,Global online payments,Yes,REST,OAuth2,Commercial,Global,Low,https://developer.paypal.com/,SRC-0084,62
INT-013,Mastercard APIs,Financial,Mastercard,Card network services,Yes,REST,OAuth2/mTLS,Commercial,Global,Low-Medium,https://developer.mastercard.com/,SRC-0084,58
INT-014,Visa Developer,Financial,Visa,Card network services,Yes,REST,mTLS/API key,Commercial,Global,Low-Medium,https://developer.visa.com/,SRC-0084,58
INT-015,M-Pesa Daraja API,Financial,Safaricom/Vodacom,Mobile money (regional),Yes,REST,OAuth2,Commercial,East/Southern Africa,Low,https://developer.safaricom.co.ke/,SRC-0084,60
INT-016,ZRA TaxOnline II,Financial,Zambia Revenue Authority,Tax filing/clearance,Portal (API restricted),Web/portal,ZamPass/credentials,Government,Zambia,High,https://www.zra.org.zm/,SRC-0118,66
INT-017,ASYCUDAWorld,Financial,ZRA/UNCTAD,Customs declarations,Restricted,XML/web,Trader credentials,Government,Zambia,High (trade),https://asycuda.org/,SRC-0118,64
INT-018,NAPSA e-services,Financial,NAPSA,Pension contributions,Portal,Web/portal,Credentials,Government,Zambia,High (payroll),https://www.napsa.co.zm/,SRC-0079,58
INT-019,QuickBooks Online API,Financial,Intuit,Accounting integration,Yes,REST,OAuth2,Commercial,Global,Medium,https://developer.intuit.com/,SRC-0079,64
INT-020,Xero API,Financial,Xero,Accounting integration,Yes,REST,OAuth2,Commercial,Global,Medium,https://developer.xero.com/,SRC-0079,64
INT-021,Sage Accounting API,Financial,Sage,Accounting integration,Yes,REST,OAuth2,Commercial,Global/SADC,Medium,https://developer.sage.com/,SRC-0079,60
INT-022,SWIFT,Financial,SWIFT,Cross-border bank messaging,Restricted,ISO 20022/MT,PKI,Regulated,Global,Medium (banks),https://www.swift.com/,SRC-0084,56
INT-023,PaySpace API,Financial,PaySpace,Payroll (multi-country African tax),Yes,REST,OAuth2/API key,Commercial,Africa,Medium,https://www.payspace.com/,SRC-0079,58
INT-024,Zanaco / Stanbic / Absa / FNB Zambia host-to-host,Financial,Commercial banks (Zambia),Corporate banking/payments,Restricted,Host-to-host/API,Bank credentials,Commercial,Zambia,Medium,https://www.zanaco.co.zm/,SRC-0084,54
INT-025,ZamPortal / ZamServices,Government,Smart Zambia Institute,One-stop e-services directory,Portal (GSB backend),Web/GSB,ZamPass,Government,Zambia,High,https://zamportal.gov.zm/,SRC-0118,80
INT-026,ZamPass,Government,Smart Zambia Institute,National e-gov authentication/SSO,Portal/SSO,OIDC-like,ZamPass credentials,Government,Zambia,High,https://zamportal.gov.zm/,SRC-0118,76
INT-027,ZamPay,Government,Smart Zambia Institute,Government payment gateway,Gateway,Web/redirect,ZamPass,Government,Zambia,High,https://zamportal.gov.zm/,SRC-0118,74
INT-028,Government Service Bus (GSB),Government,Smart Zambia Institute,Inter-agency integration backbone,Restricted,ESB/SOAP/REST,Agency credentials,Government,Zambia,High (gov),https://zamportal.gov.zm/,SRC-0118,72
INT-029,PACRA e-services,Government,PACRA,Business/company registration,Portal,Web/portal,ZamPass/credentials,Government,Zambia,High,https://www.pacra.org.zm/,SRC-0118,70
INT-030,Mining Cadastre Portal (FlexiCadastre/Landfolio),Government,Ministry of Mines,Mining licence applications/renewals/transfers,Portal (on GSB),Web/portal,ZamPass,Government,Zambia,High (mining),https://portal.miningcadastre.com/,SRC-0119,76
INT-031,NGDR Public GIS Data Portal,Government,Geological Survey (GSB),Public spatial mining/geoscience data,Portal,Web/GIS,Public,Government,Zambia,High,https://ngdr.gsb.gov.zm/,SRC-0119,72
INT-032,ZIAMIS,Government,Ministry of Agriculture,FISP e-voucher & farmer registry,Restricted,Web,Credentials,Government,Zambia,High (agri),https://www.agriculture.gov.zm/,SRC-0045,66
INT-033,FRA systems,Government,Food Reserve Agency,Crop purchase/warehouse receipts,Restricted,Web,Credentials,Government,Zambia,High (agri),https://www.fra.org.zm/,SRC-0045,58
INT-034,ZAMACE,Government,Zambian Commodity Exchange,Commodity trading/WRS,Portal,Web,Member credentials,Private/regulated,Zambia,High (commodities),https://www.zamace.co.zm/,SRC-0062,60
INT-035,ZEMA systems,Government,ZEMA,EIA/environmental licensing & reporting,Portal,Web,Credentials,Government,Zambia,High (environmental),https://www.zema.org.zm/,SRC-0017,60
INT-036,WARMA e-services,Government,Water Resources Mgmt Authority,Water rights/permits,Portal,Web,Credentials,Government,Zambia,Medium,https://www.warma.org.zm/,SRC-0019,54
INT-037,NWASCO reporting,Government,NWASCO,Water utility regulation reporting,Portal,Web,Credentials,Government,Zambia,Medium,https://www.nwasco.org.zm/,SRC-0019,52
INT-038,ZICTA systems,Government,ZICTA,ICT/telecom regulation & licensing,Portal,Web,Credentials,Government,Zambia,Medium,https://www.zicta.zm/,SRC-0068,56
INT-039,RTSA services (via ZamPortal),Government,Road Transport & Safety Agency,Road tax/licences/vehicle data,Portal (GSB),Web,ZamPass,Government,Zambia,Medium,https://zamportal.gov.zm/,SRC-0118,66
INT-040,Road Development Agency,Government,RDA,Road network/works data,Portal,Web,Credentials,Government,Zambia,Low-Medium,https://www.rda.org.zm/,SRC-0068,50
INT-041,ZPPA e-GP,Government,Zambia Public Procurement Authority,e-Government procurement,Portal,Web,Credentials,Government,Zambia,Medium,https://www.zppa.org.zm/,SRC-0029,56
INT-042,ZDA / CEEC,Government,ZDA/CEEC,Investment/enterprise support,Portal,Web,Credentials,Government,Zambia,Low,https://www.zda.org.zm/,SRC-0068,48
INT-043,ZamStats data,Government,Zambia Statistics Agency,National statistics/open data,Portal,Web/CSV,Public,Government,Zambia,Medium,https://www.zamstats.gov.zm/,SRC-0068,58
INT-044,National ID / DNRPC,Government,Dept National Registration,National ID verification,Restricted,Web/GSB,ZamPass,Government,Zambia,High,https://zamportal.gov.zm/,SRC-0118,60
INT-045,ZESCO / Smart Meter,Government,ZESCO,Utility/energy data & billing,Portal,Web/API,Credentials,Government,Zambia,Low-Medium,https://www.zesco.co.zm/,SRC-0068,48
INT-046,Zambia Meteorological Department (ZMD),Weather,ZMD,National weather/forecast/warnings,Limited,Web,Credentials,Government,Zambia,High,https://www.meteozambia.gov.zm/,SRC-0043,58
INT-047,OpenWeather API,Weather,OpenWeather,Current/forecast/historical weather,Yes,REST,API key,Freemium/Commercial,Global,High,https://openweathermap.org/api,SRC-0121,72
INT-048,NASA POWER API,Weather,NASA,Agroclimatology/solar/meteorology,Yes,REST,None (open),Open,Global,High,https://power.larc.nasa.gov/,SRC-0121,74
INT-049,NOAA / NWS API,Weather,NOAA,Weather data/models,Yes,REST,None/user-agent,Open (US-centric),Global,Medium,https://www.weather.gov/documentation/services-web-api,SRC-0121,64
INT-050,ECMWF / Copernicus CDS,Weather,ECMWF,Global forecasts/reanalysis (ERA5),Yes,REST/CDS API,Registration key,Open (licence),Global,Medium,https://cds.climate.copernicus.eu/,SRC-0121,66
INT-051,Meteostat API,Weather,Meteostat,Historical station/gridded weather,Yes,REST,API key,Free/attribution,Global,Medium,https://dev.meteostat.net/,SRC-0121,66
INT-052,Tomorrow.io API,Weather,Tomorrow.io,Hyperlocal forecast/weather intelligence,Yes,REST,API key,Commercial,Global,Medium,https://docs.tomorrow.io/,SRC-0121,64
INT-053,Visual Crossing / WeatherAPI,Weather,various,Weather/history APIs,Yes,REST,API key,Freemium,Global,Medium,https://www.visualcrossing.com/weather-api,SRC-0121,58
INT-054,TAHMO,Weather,TAHMO,African weather station network,Yes,REST,API key,Restricted/partnership,Africa,Medium,https://tahmo.org/,SRC-0121,56
INT-055,Meteomatics,Weather,Meteomatics,Weather API (multi-model),Yes,REST,Basic auth,Commercial,Global,Low,https://www.meteomatics.com/,SRC-0121,54
INT-056,Esri ArcGIS REST / Online,GIS,Esri,Mapping/geoprocessing/hosted layers,Yes,REST,API key/OAuth2,Commercial,Global,Medium,https://developers.arcgis.com/,SRC-0081,72
INT-057,QGIS,GIS,QGIS.org,Desktop GIS + processing,SDK/plugins,Python/C++,None,OSS,Global,High,https://qgis.org/,SRC-0081,74
INT-058,GeoServer (OGC),GIS,OSGeo,Web map/feature server,Yes,WMS/WFS/WCS/REST,Basic/token,OSS,Global,High,https://geoserver.org/,SRC-0081,74
INT-059,PostGIS,GIS,PostgreSQL,Spatial database,SQL,SQL,DB auth,OSS,Global,High,https://postgis.net/,SRC-0081,76
INT-060,Google Maps Platform,GIS,Google,Maps/routing/places/geocoding,Yes,REST,API key,Commercial,Global,Medium,https://developers.google.com/maps,SRC-0081,68
INT-061,Mapbox,GIS,Mapbox,Maps/routing/tiling,Yes,REST,API token,Commercial,Global,Medium,https://docs.mapbox.com/,SRC-0081,66
INT-062,OpenStreetMap (Overpass/Nominatim),GIS,OSM Foundation,Open map data/geocoding,Yes,REST,None,ODbL (open),Global,High,https://www.openstreetmap.org/,SRC-0081,70
INT-063,Cesium ion,GIS,Cesium,3D geospatial/terrain tiling,Yes,REST,API token,Freemium,Global,Low-Medium,https://cesium.com/learn/,SRC-0081,56
INT-064,Leaflet,GIS,Leaflet,Web map client library,Library,JS,None,OSS,Global,High,https://leafletjs.com/,SRC-0081,66
INT-065,MapTiler / HERE / TomTom,GIS,various,Maps/tiles/routing,Yes,REST,API key,Commercial,Global,Low-Medium,https://www.maptiler.com/,SRC-0081,54
INT-066,Copernicus Data Space (Sentinel),RemoteSensing,ESA,Sentinel-1/2/3 imagery,Yes,REST/OData/STAC,OAuth2/registration,Open,Global,High,https://dataspace.copernicus.eu/,SRC-0081,74
INT-067,USGS EarthExplorer / M2M,RemoteSensing,USGS,Landsat imagery,Yes,REST (M2M),API token,Open,Global,High,https://m2m.cr.usgs.gov/,SRC-0081,70
INT-068,Planet API,RemoteSensing,Planet Labs,Daily high-res imagery,Yes,REST,API key,Commercial,Global,Medium,https://developers.planet.com/,SRC-0081,68
INT-069,Sentinel Hub API,RemoteSensing,Sinergise/Planet,RS processing/imagery,Yes,REST/OGC,OAuth2,Commercial,Global,Medium,https://www.sentinel-hub.com/,SRC-0081,68
INT-070,Google Earth Engine,RemoteSensing,Google,Geospatial analysis at scale,Yes,REST/Python,OAuth2,Free-tier/Commercial,Global,Medium,https://developers.google.com/earth-engine,SRC-0081,68
INT-071,NASA Earthdata / AppEEARS,RemoteSensing,NASA,MODIS/VIIRS/earth data access,Yes,REST,Earthdata login,Open,Global,Medium,https://www.earthdata.nasa.gov/,SRC-0081,64
INT-072,Maxar,RemoteSensing,Maxar,Very-high-res imagery,Yes,REST,API key,Commercial,Global,Low,https://developers.maxar.com/,SRC-0081,56
INT-073,Digital Earth Africa,RemoteSensing,DE Africa,Analysis-ready EO for Africa,Yes,STAC/OGC,None/registration,Open,Africa,High,https://www.digitalearthafrica.org/,SRC-0081,66
INT-074,DJI SDK / FlightHub,Drone,DJI,Flight control/data management,Yes,SDK/REST,API key/OAuth2,Commercial,Global,Medium,https://developer.dji.com/,SRC-0081,62
INT-075,Pix4D Cloud API,Drone,Pix4D,Photogrammetry processing,Yes,REST,API key,Commercial,Global,Medium,https://www.pix4d.com/,SRC-0081,60
INT-076,DroneDeploy API,Drone,DroneDeploy,Mapping/data pipeline,Yes,REST/GraphQL,API key/OAuth2,Commercial,Global,Medium,https://www.dronedeploy.com/product/developer-tools/,SRC-0081,60
INT-077,Agisoft Metashape,Drone,Agisoft,Photogrammetry (scripting),SDK,Python,License,Commercial,Global,Medium,https://www.agisoft.com/,SRC-0081,56
INT-078,OpenDroneMap (NodeODM/WebODM),Drone,ODM,Open-source photogrammetry API,Yes,REST,Token,OSS,Global,High,https://www.opendronemap.org/,SRC-0081,66
INT-079,Propeller / Esri Site Scan,Drone,various,Survey/site analytics,Yes,REST,API key,Commercial,Global,Low,https://www.propelleraero.com/,SRC-0081,50
INT-080,LoRaWAN (LoRa Alliance),IoT,LoRa Alliance,LPWAN specification,Spec,LoRaWAN,AppKey/AppSKey,Open spec,Global,High,https://lora-alliance.org/,SRC-0110,70
INT-081,ChirpStack,IoT,ChirpStack,LoRaWAN network server,Yes,gRPC/REST,API token,OSS,Global,High,https://www.chirpstack.io/,SRC-0110,68
INT-082,The Things Stack,IoT,The Things Industries,LoRaWAN network (TTN),Yes,gRPC/REST/MQTT,API key,Freemium/OSS,Global,High,https://www.thethingsindustries.com/,SRC-0110,64
INT-083,AWS IoT Core,IoT,Amazon,Device connectivity/management,Yes,MQTT/HTTPS,X.509/IAM,Commercial,Global,Medium,https://docs.aws.amazon.com/iot/,SRC-0081,64
INT-084,Azure IoT Hub,IoT,Microsoft,Device connectivity/twins,Yes,MQTT/AMQP/HTTPS,SAS/X.509,Commercial,Global,Medium,https://learn.microsoft.com/azure/iot-hub/,SRC-0081,64
INT-085,ThingsBoard,IoT,ThingsBoard,IoT platform/dashboards,Yes,REST/MQTT/CoAP,Token/X.509,OSS+Commercial,Global,High,https://thingsboard.io/,SRC-0081,68
INT-086,MQTT (Mosquitto/HiveMQ),IoT,OASIS,Lightweight pub/sub messaging,Broker,MQTT,User/pass/TLS,OSS/Commercial,Global,High,https://mqtt.org/,SRC-0110,70
INT-087,OPC-UA,IoT,OPC Foundation,Industrial interoperability,Spec/SDK,OPC-UA,Certificates,Open spec,Global,Medium,https://opcfoundation.org/,SRC-0110,58
INT-088,CoAP,IoT,IETF,Constrained device protocol,Spec,CoAP/UDP,DTLS,Open,Global,Medium,https://coap.technology/,SRC-0110,56
INT-089,Node-RED,IoT,OpenJS,Edge flow orchestration,Yes,HTTP/MQTT,Basic/token,OSS,Global,High,https://nodered.org/,SRC-0110,60
INT-090,Particle / Helium,IoT,Particle/Helium,Device cloud / LoRaWAN network,Yes,REST,API key,Commercial,Global,Low-Medium,https://docs.particle.io/,SRC-0110,52
INT-091,Africa's Talking SMS,Communication,Africa's Talking,Bulk/two-way SMS across Africa,Yes,REST,API key,Commercial,Africa,High,https://developers.africastalking.com/,SRC-0120,74
