rq_id,theme,rq_text,required_evidence,potential_source_ids,collection_method,validation_method,expected_output,kg_entities,requirement_candidates
RQ-DEMO-01,Demographics,Total national population + reference date,Census total population figure + date,MSR-001;MSR-022;MSR-024,PORTAL/PDF/CSV,xref>=2;tier1-pref;recent;log-contra,table,ENT-LOCATION,reference-data
RQ-DEMO-02,Demographics,Population by province,Population per 10 provinces,MSR-001;MSR-037;MSR-036,PORTAL/PDF/CSV,xref>=2;tier1-pref;geo-consistency,table;map,ENT-LOCATION,reference-data;GIS-baselayer
RQ-DEMO-03,Demographics,Population by district,Population per district,MSR-001;MSR-037;MSR-036,PORTAL/PDF/CSV,xref>=2;tier1-pref;geo-consistency,table;map,ENT-LOCATION,reference-data;GIS-baselayer
RQ-DEMO-04,Demographics,Population density by province & district,Density values by admin unit,MSR-001;MSR-037;MSR-038,PORTAL/CSV/GIS,geo-consistency;tier1-pref,table;map,ENT-LOCATION,GIS-baselayer
RQ-DEMO-05,Demographics,Urban vs rural split national & province,Urban/rural shares,MSR-001;MSR-022;MSR-024,PORTAL/PDF/CSV,xref>=2;recent,table;chart,ENT-LOCATION,reference-data
RQ-DEMO-06,Demographics,Population growth rate + 10yr trend,Annual growth % time series,MSR-001;MSR-022,PORTAL/CSV/API,trend-check;xref>=2,chart,ENT-LOCATION,analytics-KPI
RQ-DEMO-07,Demographics,Age structure / population pyramid,Age-band distribution,MSR-001;MSR-024;MSR-037,PORTAL/CSV,xref>=2;recent,chart,ENT-LOCATION,reference-data
RQ-DEMO-08,Demographics,Median age national & province,Median age values,MSR-001;MSR-024,PORTAL/PDF,xref>=2,table,ENT-LOCATION,reference-data
RQ-DEMO-09,Demographics,Sex ratio by province,Sex ratio per province,MSR-001,PORTAL/CSV,geo-consistency,table,ENT-LOCATION,reference-data
RQ-DEMO-10,Demographics,Household count & avg size by province,Households + mean size,MSR-001,PORTAL/CSV,xref>=2,table,ENT-LOCATION,reference-data
RQ-DEMO-11,Demographics,Fertility rate & trend,TFR time series,MSR-001;MSR-027;MSR-024,PORTAL/CSV,trend-check;xref>=2,chart,ENT-LOCATION,analytics-KPI
RQ-DEMO-12,Demographics,Life expectancy national & province,Life expectancy values,MSR-001;MSR-034;MSR-024,PORTAL/CSV,xref>=2,table,ENT-LOCATION,reference-data
RQ-DEMO-13,Demographics,Migration patterns,Rural-urban/internal/cross-border migration,MSR-001;MSR-024,PDF/PORTAL,xref>=2;log-contra,table;map,ENT-LOCATION,reference-data
RQ-DEMO-14,Demographics,Literacy rate by province & sex,Literacy % by province and sex,MSR-001;MSR-021;MSR-024,PORTAL/PDF,xref>=2,table;chart,ENT-LOCATION,reference-data;multi-language
RQ-DEMO-15,Demographics,Educational attainment distribution,Attainment levels distribution,MSR-001;MSR-021,PORTAL/PDF,xref>=2,chart,ENT-STAKEHOLDER,digital-skills-signal
RQ-DEMO-16,Demographics,Language distribution by province,Dominant languages per province,MSR-001,PDF/PORTAL,geo-consistency,table;map,ENT-LOCATION,multi-language
RQ-DEMO-17,Demographics,Labour force size & participation rate,LFS totals & participation %,MSR-001;MSR-022,PORTAL/PDF/CSV,xref>=2;recent,table;chart,ENT-STAKEHOLDER,analytics-KPI
RQ-DEMO-18,Demographics,Employment by sector,Sector employment shares,MSR-001;MSR-022,PORTAL/CSV,xref>=2,chart,ENT-STAKEHOLDER,analytics-KPI
RQ-DEMO-19,Demographics,Formal vs informal employment share,Formal/informal split,MSR-001;MSR-022,PORTAL/PDF,xref>=2;log-contra,chart,ENT-STAKEHOLDER,analytics-KPI
RQ-DEMO-20,Demographics,Youth unemployment rate,Youth unemployment %,MSR-001;MSR-022;MSR-024,PORTAL/CSV,xref>=2,table,ENT-STAKEHOLDER,analytics-KPI
RQ-DEMO-21,Demographics,Poverty headcount national & province,Poverty ratio rural/urban by province,MSR-001;MSR-022;MSR-024,PORTAL/PDF/CSV,xref>=2;tier1-pref,table;map,ENT-LOCATION,analytics-KPI;GIS-baselayer
RQ-DEMO-22,Demographics,Population projections 5-10yr,Projected population national/provincial,MSR-001;MSR-022;MSR-037,PORTAL/CSV,method-note;xref>=2,chart,ENT-LOCATION,analytics-KPI
RQ-ECON-01,Economy-national,Nominal & real GDP + reference year,GDP values & base year,MSR-001;MSR-002;MSR-022;MSR-023,PORTAL/CSV/API,xref>=2;units-normalise,table,ENT-LOCATION,analytics-KPI
RQ-ECON-02,Economy-national,GDP growth rate + 10yr trend,Real growth % series,MSR-001;MSR-022;MSR-023,PORTAL/CSV/API,trend-check;xref>=2,chart,ENT-LOCATION,analytics-KPI
RQ-ECON-03,Economy-national,GDP per capita + trend,GDP/capita series,MSR-001;MSR-022,PORTAL/CSV,trend-check,chart,ENT-LOCATION,analytics-KPI
RQ-ECON-04,Economy-national,GDP composition by sector,Sector value-added shares,MSR-001;MSR-022,PORTAL/CSV,xref>=2,chart,ENT-ORG,analytics-KPI
RQ-ECON-05,Economy-national,Agriculture contribution to GDP,Agri % and value,MSR-001;MSR-025;MSR-022,PORTAL/CSV,xref>=2,table,ENT-ORG,analytics-KPI
RQ-ECON-06,Economy-national,Mining contribution to GDP,Mining % and value,MSR-001;MSR-019;MSR-022,PORTAL/CSV,xref>=2,table,ENT-ORG,analytics-KPI
RQ-ECON-07,Economy-national,Construction contribution to GDP,Construction % and value,MSR-001;MSR-022,PORTAL/CSV,xref>=2,table,ENT-ORG,analytics-KPI
RQ-ECON-08,Economy-national,Logistics/transport contribution to GDP,Transport % and value,MSR-001;MSR-022,PORTAL/CSV,xref>=2,table,ENT-ORG,analytics-KPI
RQ-ECON-09,Economy-national,GDP by province,Provincial GDP where published,MSR-001;MSR-014,PDF/PORTAL,geo-consistency;log-gaps,table;map,ENT-LOCATION,GIS-baselayer
RQ-ECON-10,Economy-national,GDP by district,District GDP or estimate,MSR-001,PDF/PORTAL,log-gaps;method-note,table;map,ENT-LOCATION,GIS-baselayer
RQ-ECON-11,Economy-national,Inflation headline/food/non-food + trend,CPI series,MSR-001;MSR-002,PORTAL/CSV,trend-check;xref>=2,chart,ENT-LOCATION,analytics-KPI
RQ-ECON-12,Economy-national,Policy interest rate,Policy rate series,MSR-002,PORTAL/CSV,recent,chart,ENT-ORG,analytics-KPI
