dom_id,name,class,purpose,stakeholders,capabilities,workflows,regulations,requirements,external_systems,kpis,risks,constraints,related_domains,evidence
DOM-AGRI,Agriculture Operations,Core,Manage on-farm production across crops livestock and related operations,STK-028;STK-029;STK-034,CAP-001..017;CAP-023;CAP-030..037,WF-001..026;WF-041,REG-0016,REQ-F-001..012;REQ-F-023..027,INT-046;INT-066,Yield/ha;input timeliness;area under mgmt,Data capture gaps rural;low literacy,Connectivity;device;language,DOM-TRADE;DOM-GEO;DOM-EXT;DOM-FIN,F-0053;F-0033
DOM-MINE,Mining Operations,Core,Plan operate and report mining production safely and lawfully,STK-039;STK-047;STK-041,CAP-041..059;CAP-063..067,WF-M01..M11,REG-0009;REG-0010;REG-0034,REQ-F-029..045,INT-030;INT-031,Production vs plan;incident rate;compliance,Safety/legal exposure;desktop tools,Regulated;capital-intensive,DOM-ENV;DOM-INV;DOM-CMP;DOM-GEO,F-0056;F-0057
DOM-CONS,Construction Operations,Core,Deliver construction projects to time cost and quality,STK-048;STK-050;STK-052,CAP-068..088,WF-C01..C14,REG-0016;REG-0029,REQ-F-046..058,INT-140,On-time/on-budget;quality defects,Delivery slippage;disputes,Connectivity on site;skills,DOM-PROC;DOM-DOC;DOM-INV;DOM-HR,F-0060
DOM-ENV,Environmental Management,Core,Assess monitor and report environmental performance and compliance,STK-010;STK-047;STK-039,CAP-060..062;CAP-089..101,WF-E01..E14;WF-M10,REG-0017;REG-0018;REG-0019,REQ-F-043;REQ-F-044;REQ-F-059..064,INT-035;INT-036,Compliance rate;exceedances;rehab progress,Pollution/regulatory risk,Reporting formats;lab capacity,DOM-MINE;DOM-CMP;DOM-GEO;DOM-ANALYTICS,F-0059;F-0073
DOM-LOG,Logistics Operations,Core,Move store and deliver goods across corridors and warehouses,STK-055;STK-030;STK-020,CAP-102..120,WF-L01..L26,REG-0022;REG-0030,REQ-F-065..075,INT-017;INT-101,On-time delivery;utilisation;transit time,Border delays;visibility gaps,Corridor/infrastructure;connectivity,DOM-INV;DOM-FIN;DOM-GEO;DOM-TRADE,F-0067;F-0068;F-0069
DOM-TRADE,Commodity Trading & Marketplace,Core,Enable commodity listing trading and market linkage,STK-031;STK-030;STK-060,CAP-018;CAP-019;CAP-020;CAP-022;CAP-037,WF-028;WF-029;WF-030,REG-0012,REQ-F-014;REQ-F-015;REQ-F-016,INT-034,Trade volume;price transparency,Thin markets;trust,Market information gaps,DOM-AGRI;DOM-FIN;DOM-LOG,F-0054;F-0067
DOM-FIN,Finance & Payments,Supporting,Record financial transactions and move money incl. mobile money,STK-029;STK-060;STK-062,CAP-121..130;CAP-025;CAP-026;CAP-039,WF-006;WF-032;WF-037,REG-0027;REG-0028;REG-0031,REQ-F-076..081;REQ-F-019..022,INT-003;INT-006;INT-016,Cashflow accuracy;settlement reliability,Financial integrity;fraud,Regulated rails;FX,DOM-PROC;DOM-CMP;DOM-IAM;DOM-AUDIT,F-0079;F-0054;F-0086
DOM-PROC,Procurement,Supporting,Source and contract goods and services with controls,STK-042;STK-039;STK-048,CAP-055;CAP-073;CAP-131;CAP-132;CAP-133,WF-032;WF-M07;WF-C04,REG-0029,REQ-F-082;REQ-F-083;REQ-F-048,INT-041,Cycle time;savings;compliance,Uncontrolled spend,Approval thresholds,DOM-FIN;DOM-INV;DOM-DOC,F-0057;F-0060
DOM-INV,Inventory & Asset Management,Supporting,Track stock spares and physical assets across sites,STK-039;STK-055;STK-048,CAP-015;CAP-053;CAP-054;CAP-113;CAP-134,WF-M06;WF-M07;WF-L18,,REQ-F-012;REQ-F-037;REQ-F-038;REQ-F-071,INT-116,Stock accuracy;asset uptime,Stockouts;shrinkage,Multi-site distribution,DOM-PROC;DOM-LOG;DOM-MINE,F-0057;F-0067
DOM-HR,Human Resources,Supporting,Manage workforce payroll and competency,STK-058;STK-029,CAP-067;CAP-081;CAP-129;CAP-138..142,WF-034,REG-0035;REG-0027,REQ-F-081;REQ-F-085;REQ-F-086,INT-018;INT-023,Headcount cost;compliance,Payroll non-compliance,Multi-country tax,DOM-FIN;DOM-CMP;DOM-IAM,F-0079
