info_id,name,business_definition,business_purpose,domain_owner,steward,source_stakeholder,consuming_stakeholders,related_workflows,related_requirements,related_regulations,related_capabilities,related_business_events,related_business_objects,lifecycle,confidentiality,integrity_importance,availability_importance,retention,geographic_scope,industry_scope,evidence_ids,confidence
INFO-001,Farmer Profile,Identity and household data of a farmer,Enable advisory finance and services,DOM-AGRI,Extension lead,STK-028,STK-029;STK-034;STK-060,WF-001;WF-002,REQ-F-001,REG-0024,CAP-001,EVT-001,BO-001;BO-011,Active,Confidential,High,Medium,7y-after-inactive,National,agriculture,F-0053,72
INFO-002,Land/Plot Record,Spatial and tenure data for a field,Basis for mapping and monitoring,DOM-GEO,GIS steward,STK-028,STK-034;STK-039,WF-003,REQ-F-002,,CAP-002,EVT-002,BO-002,Active,Internal,High,Medium,Life-of-holding,National,agriculture;construction;mining,F-0075,70
INFO-003,Crop Record,Crop type variety and stage per plot,Track production cycle,DOM-AGRI,Agronomy steward,STK-028,STK-034;STK-029,WF-005;WF-006,REQ-F-004;REQ-F-005,,CAP-004;CAP-005,EVT-003,BO-003,Seasonal,Internal,Medium,Medium,Season+3y,National,agriculture,F-0053,68
INFO-004,Input Usage Record,Seed fertiliser and agrochemical use,Traceability and compliance,DOM-AGRI,Agronomy steward,STK-028,STK-032;STK-036,WF-007;WF-011,REQ-F-006,REG-0016,CAP-006,EVT-004,BO-015,Transactional,Internal,High,Medium,7y,National,agriculture,F-0053,66
INFO-005,Scouting/Pest Observation,Pest and disease observations,Trigger advisory and response,DOM-AGRI,Agronomy steward,STK-028,STK-034,WF-013;WF-015,REQ-F-007,,CAP-007,EVT-005,BO-003,Transactional,Internal,Medium,Medium,3y,National,agriculture,F-0075,64
INFO-006,Harvest Record,Harvested quantities and dates,Yield baseline and settlement,DOM-AGRI,Agronomy steward,STK-028,STK-031;STK-060,WF-025,REQ-F-010,,CAP-012,EVT-006,BO-003,Transactional,Internal,High,Medium,7y,National,agriculture,F-0033,66
INFO-007,Advisory Content,Agronomic and technical guidance,Improve practice and outcomes,DOM-EXT,Advisory steward,STK-034,STK-028,WF-038;WF-039,REQ-F-017,,CAP-023;CAP-168,EVT-035,BO-026,Managed,Public,Medium,Medium,Current+archive,National,agriculture,F-0055,62
INFO-008,Weather Data,Observed and forecast weather,Advisory irrigation and risk,DOM-EXT,Data steward,STK-023,STK-028;STK-029,WF-019,REQ-F-018,,CAP-024,EVT-035,BO-023,Streaming,Public,Medium,High,Rolling+history,National,agriculture;logistics;environmental,F-0076,62
INFO-009,Livestock Record,Animal identity health and events,Herd management and traceability,DOM-AGRI,Livestock steward,STK-028,STK-035,WF-041,REQ-F-023;REQ-F-024,REG-0016,CAP-030;CAP-031,EVT-001,BO-004,Active,Internal,Medium,Medium,Life-of-animal+3y,National,agriculture,F-0053,56
INFO-010,Warehouse Receipt,Title to stored commodity,Enable finance and trade,DOM-TRADE,WRS steward,STK-031,STK-060;STK-030,WF-027,REQ-F-013,REG-0012,CAP-016,EVT-007,BO-017,Lifecycle,Confidential,High,High,Statutory+7y,National,agriculture,F-0067,64
INFO-011,Commodity Listing,Offer to buy or sell commodity,Market linkage and price discovery,DOM-TRADE,Market steward,STK-031,STK-030,WF-028;WF-029,REQ-F-014,REG-0012,CAP-018;CAP-019,EVT-008,BO-016,Transactional,Internal,Medium,Medium,3y,National,agriculture,F-0054,62
INFO-012,Market Price Data,Reference commodity prices,Inform trade and advisory,DOM-TRADE,Market steward,STK-030,STK-028;STK-031,WF-029,REQ-F-015,,CAP-019,EVT-009,BO-016,Streaming,Public,Medium,Medium,Rolling+history,National,agriculture,F-0054,60
INFO-013,Trade/Order Record,Agreed transaction between parties,Fulfilment and settlement,DOM-TRADE,Trade steward,STK-030,STK-031;STK-055;STK-060,WF-029,REQ-F-014,REG-0012,CAP-018;CAP-020,EVT-009,BO-016,Transactional,Confidential,High,High,7y,National,agriculture;logistics,F-0054,62
INFO-014,Payment Record,Movement of funds between parties,Financial settlement and audit,DOM-FIN,Finance steward,STK-062,STK-060;STK-029;STK-002,WF-032;WF-037,REQ-F-078;REQ-F-079,REG-0031,CAP-124;CAP-125,EVT-010,BO-020,Transactional,Restricted,High,High,7y-statutory,National,cross-industry,F-0086,66
INFO-015,Loan/Credit Record,Credit issuance and repayment,Manage finance exposure,DOM-FIN,Credit steward,STK-069,STK-060;STK-028,WF-037,REQ-F-020,REG-0031,CAP-026,EVT-011,BO-020,Lifecycle,Restricted,High,High,7y,National,agriculture;cross-industry,F-0054,58
INFO-016,Invoice,Billing document between parties,Revenue and tax basis,DOM-FIN,Finance steward,STK-030,STK-060;STK-002,WF-032,REQ-F-077,REG-0027;REG-0028,CAP-123,EVT-030,BO-019,Transactional,Confidential,High,Medium,7y-statutory,National,cross-industry,F-0079,62
INFO-017,Subsidy/Voucher Record,Input subsidy entitlement and redemption,Administer FISP-type support,DOM-AGRI,Programme steward,STK-001,STK-028;STK-032,WF-007,REQ-F-021,REG-0013,CAP-038,EVT-004,BO-020,Lifecycle,Confidential,High,Medium,7y,National,agriculture,F-0053,60
INFO-018,Exploration/Assay Data,Drillhole and sample results,Resource understanding,DOM-MINE,Geology steward,STK-047,STK-039,WF-M01,REQ-F-029,REG-0009,CAP-041;CAP-043,EVT-014,BO-006;BO-024,Managed,Confidential,High,Medium,Life-of-mine,National,mining,F-0056,62
INFO-019,Geological/Resource Model,3D geology and resource estimate,Mine planning basis,DOM-MINE,Geology steward,STK-047,STK-039,WF-M02,REQ-F-030,REG-0009,CAP-042;CAP-044,EVT-014,BO-006,Managed,Confidential,High,Medium,Life-of-mine,National,mining,F-0056,60
INFO-020,Mine Plan,Design and schedule artefacts,Guide safe production,DOM-MINE,Planning steward,STK-047,STK-039;STK-041,WF-M03,REQ-F-032,REG-0009,CAP-046;CAP-047,EVT-015,BO-028,Versioned,Confidential,High,Medium,Life-of-mine,National,mining,F-0056,60
INFO-021,Production Record,Extracted and processed output,Reconciliation and reporting,DOM-MINE,Production steward,STK-039,STK-009;STK-060,WF-M04;WF-M11,REQ-F-033;REQ-F-045,REG-0009;REG-0010,CAP-047;CAP-064,EVT-016,BO-005,Transactional,Confidential,High,High,Statutory,National,mining,F-0056,60
INFO-022,Equipment/Asset Record,Physical asset identity and status,Asset control and maintenance,DOM-INV,Asset steward,STK-039,STK-041;STK-055;STK-048,WF-M06,REQ-F-037,,CAP-053;CAP-134,EVT-017,BO-009,Lifecycle,Internal,Medium,High,Life-of-asset,National,mining;construction;logistics,F-0057,62
INFO-023,Maintenance Record,Work orders and maintenance history,Uptime and safety,DOM-INV,Maintenance steward,STK-041,STK-039,WF-M06,REQ-F-036,REG-0016,CAP-052,EVT-017,BO-009,Transactional,Internal,Medium,Medium,Life-of-asset,National,mining;construction;logistics,F-0057,58
INFO-024,Environmental Monitoring Reading,Measured environmental parameters,Compliance and protection,DOM-ENV,Environmental steward,STK-039,STK-010,WF-M10;WF-E10,REQ-F-043,REG-0017;REG-0018;REG-0019,CAP-060;CAP-091;CAP-092,EVT-019;EVT-020,BO-023,Streaming,Confidential,High,High,Statutory,National,mining;environmental,F-0059,60
INFO-025,Laboratory Sample Result,Analytical results for samples,Assay and compliance evidence,DOM-ENV,Lab steward,STK-036,STK-039;STK-010,WF-M01;WF-E10,REQ-F-044,,CAP-063;CAP-100,EVT-019,BO-024,Lifecycle,Confidential,High,Medium,7y,National,mining;environmental,F-0056,56
INFO-026,EIA/ESMP Record,Impact assessment and mgmt plan,Regulatory authorisation,DOM-ENV,Environmental steward,STK-047,STK-010;STK-039,WF-E01;WF-E02,REQ-F-059,REG-0017;REG-0018,CAP-089;CAP-090,EVT-022,BO-014,Lifecycle,Confidential,High,Medium,Life-of-project,National,environmental;mining;construction,F-0059,58
INFO-027,Permit/Licence Record,Authorisation from a regulator,Legal right to operate,DOM-CMP,Compliance steward,STK-009,STK-039;STK-010,WF-M11;WF-E14,REQ-F-045;REQ-F-063,REG-0009;REG-0017;REG-0019,CAP-066;CAP-099,EVT-012;EVT-013,BO-014,Lifecycle,Confidential,High,High,Life-of-licence+7y,National,mining;environmental;cross-industry,F-0073;F-0085,64
INFO-028,Compliance Report,Statutory return to a regulator,Evidence of compliance,DOM-CMP,Compliance steward,STK-039,STK-009;STK-010;STK-002,WF-M11;WF-E14;WF-035,REQ-F-045;REQ-F-063;REQ-F-080,REG-0009;REG-0017;REG-0028,CAP-065;CAP-098;CAP-128,EVT-021,BO-025,Periodic,Confidential,High,High,Statutory,National,cross-industry,F-0073,60
INFO-029,Safety Incident Record,Recorded safety event,Legal and safety management,DOM-CMP,HSE steward,STK-018,STK-039;STK-048,WF-M09;WF-C13,REQ-F-040;REQ-F-057,REG-0034,CAP-057;CAP-085,EVT-018,BO-022,Lifecycle,Confidential,High,High,7y,National,mining;construction,F-0058,60
INFO-030,Inspection Record,Quality safety or regulatory inspection,Assurance and compliance,DOM-CMP,QA steward,STK-048,STK-050;STK-018,WF-M09;WF-C11,REQ-F-041;REQ-F-056,REG-0016;REG-0034,CAP-058;CAP-082,EVT-031,BO-021,Transactional,Internal,High,Medium,7y,National,mining;construction;environmental,F-0060,58
INFO-031,Project Record,Construction project master data,Delivery management,DOM-CONS,Project steward,STK-048,STK-050;STK-052,WF-C01,REQ-F-046,,CAP-068,EVT-023,BO-007,Lifecycle,Internal,High,Medium,Life-of-project+7y,National,construction,F-0060,62
INFO-032,BOQ,Bill of quantities for works,Cost basis and valuation,DOM-CONS,QS steward,STK-050,STK-048;STK-052,WF-C03,REQ-F-047,REG-0016,CAP-069;CAP-070,EVT-025,BO-029,Versioned,Confidential,High,Medium,Life-of-project+7y,National,construction,F-0060,60
INFO-033,Progress/Site Report,Daily site progress record,Site visibility and control,DOM-CONS,Site steward,STK-048,STK-050,WF-C07,REQ-F-050,,CAP-074;CAP-075,EVT-024,BO-008,Transactional,Internal,Medium,Medium,Life-of-project,National,construction,F-0060,58
INFO-034,Valuation/IPC,Interim payment certificate,Progress payment basis,DOM-CONS,QS steward,STK-050,STK-048;STK-060,WF-C12,REQ-F-052,,CAP-077,EVT-025,BO-029;BO-019,Periodic,Confidential,High,Medium,Life-of-project+7y,National,construction,F-0060,58
INFO-035,Transport Order,Instruction to move goods,Logistics fulfilment,DOM-LOG,Logistics steward,STK-030,STK-055,WF-L01;WF-L08,REQ-F-065,,CAP-102,EVT-026,BO-016,Transactional,Internal,High,High,7y,Regional,logistics;agriculture,F-0067,60
INFO-036,Shipment/Consignment Record,Goods in transit and status,Track and prove delivery,DOM-LOG,Logistics steward,STK-055,STK-030;STK-020,WF-L12;WF-L21,REQ-F-069;REQ-F-075,REG-0030,CAP-107;CAP-117,EVT-027;EVT-028,BO-018,Lifecycle,Internal,High,High,7y,Regional,logistics,F-0069,60
INFO-037,Proof of Delivery,Confirmation of goods delivered,Settlement and dispute basis,DOM-LOG,Logistics steward,STK-055,STK-030,WF-L08,REQ-F-070,,CAP-110,EVT-028,BO-018,Transactional,Confidential,High,Medium,7y,Regional,logistics,F-0068,58
INFO-038,Inventory/Stock Record,Held stock and movements,Stock accuracy and control,DOM-INV,Inventory steward,STK-055,STK-039;STK-030,WF-L18;WF-M07,REQ-F-071;REQ-F-038,,CAP-113;CAP-054,EVT-029,BO-015,Transactional,Internal,High,High,7y,National,logistics;mining;agriculture,F-0067,60
INFO-039,Customs Document,Cross-border declaration data,Border clearance and compliance,DOM-CMP,Trade compliance steward,STK-020,STK-055,WF-L21,REQ-F-074,REG-0030,CAP-116,EVT-032,BO-026,Transactional,Confidential,High,High,Statutory,Regional,logistics,F-0069,56
INFO-040,Person Identity Record,Verified identity of a person,Authentication and consent,DOM-IAM,Identity steward,STK-028,STK-029;STK-023,WF-033,REQ-F-096;REQ-F-105,REG-0024,CAP-156;CAP-159,EVT-033;EVT-034,BO-011;BO-030,Lifecycle,Restricted,High,High,Per-DPA,National,cross-industry,F-0077,64
INFO-041,Organisation Record,Legal entity master data,Party management and compliance,DOM-IAM,MDM steward,STK-029,STK-042;STK-060,WF-033,REQ-F-099,REG-0024,CAP-159,EVT-001,BO-012,Lifecycle,Confidential,High,High,Life+7y,National,cross-industry,F-0079,62
INFO-042,Financial Ledger Entry,Double-entry accounting record,Financial integrity and reporting,DOM-FIN,Finance steward,STK-060,STK-029;STK-002,WF-006;WF-032,REQ-F-076,REG-0027;REG-0028,CAP-121,EVT-030,BO-019,Transactional,Restricted,High,High,7y-statutory,National,cross-industry,F-0079,64
INFO-043,Audit Log,Immutable record of system actions,Accountability and forensics,DOM-AUDIT,Security steward,STK-070,STK-022;STK-029,WF-035,REQ-F-094;REQ-N-019,REG-0024,CAP-153,EVT-033,BO-030,Append-only,Restricted,High,High,Per-policy,National,cross-industry,F-0077,62
INFO-044,Consent Record,Data-subject consent and preferences,Lawful processing basis,DOM-IAM,Privacy steward,STK-028,STK-022;STK-029,WF-033,REQ-F-105;REQ-N-013,REG-0024,CAP-170,EVT-034,BO-011,Lifecycle,Restricted,High,High,Per-DPA,National,cross-industry,F-0077,60
INFO-045,Reference/Master Data,Controlled reference and master values,Consistency across domains,DOM-CFG,MDM steward,STK-070,STK-029;STK-039,WF-033,REQ-N-021;REQ-N-027,,CAP-163,EVT-001,BO-012,Managed,Internal,High,High,Permanent-versioned,National,cross-industry,F-0079,60
INFO-046,KPI/Report Data,Aggregated indicators and reports,Insight and decision-making,DOM-ANALYTICS,Analytics steward,STK-029,STK-001;STK-039,WF-035,REQ-F-089;REQ-F-090,REG-0028,CAP-146;CAP-147,EVT-021,BO-025,Derived,Internal,Medium,Medium,Rolling+archive,National,cross-industry,F-0079,58
INFO-047,Notification/Message Log,Record of messages sent to users,Engagement and delivery assurance,DOM-NOTIF,Comms steward,STK-070,STK-028;STK-030,WF-038,REQ-F-092,REG-0024,CAP-149,EVT-035,BO-011,Transactional,Confidential,Medium,Medium,2y,National,cross-industry,F-0086,58
