instrument_id,title,year,status,authority,scope_purpose,industries,workflows_affected,licensing,reporting,inspection,renewal,penalties,related,evidence,confidence
REG-0001,Constitution of Zambia (Amendment) Act No.2 of 2016,2016,In force,GRZ/Parliament,Supreme law; governance; decentralisation,cross-industry,all,n/a,n/a,n/a,n/a,n/a,all,SRC-0014,95
REG-0002,Plant Variety and Seeds Act (Cap 236),1995,In force (reform pending),SCCI / Ministry of Agriculture,Seed production/sale/import/export; testing & certification,agriculture,WF-007,Seed importer/producer/seller licence,Certification records,Seed testing,periodic,fines,REG-0003;REG-0027,SRC-0094,84
REG-0003,Plant Breeders Act No.18 of 2007,2007,In force,Ministry of Agriculture,Plant breeders' rights,agriculture,WF-005/007,PBR registration,n/a,n/a,term,fines,REG-0002,SRC-0100,76
REG-0004,Agriculture (Fertilisers and Feed) Act (Cap 226),1994,In force (reform pending),Ministry of Agriculture,Manufacture/import/sale of fertilisers & feed; purity standards,agriculture,WF-008,Registration; approved lab,Analysis reports,Sampling/analysis,periodic,fines,REG-0027,SRC-0095,84
REG-0005,Food and Nutrition Act No.3 of 2020,2020,In force,National Food & Nutrition Commission,Food & nutrition programme; nutrition-group registration,agriculture,WF-034/035,Nutrition-group registration,programme reports,n/a,n/a,fines,REG-0006,SRC-0096,84
REG-0006,Food Reserve Act No.20 of 2005,2005,In force,Food Reserve Agency,National strategic food reserve,agriculture,WF-026/029/031,n/a,stock reports,depot inspection,n/a,n/a,REG-0007,SRC-0100,80
REG-0007,Agricultural Credits Act No.35 of 2010 (+ Agricultural Credits & Warehouse Receipts Act 2026),2010,In force (2026 update),Warehouse Licensing Authority,Warehouse receipts; agricultural charges; e-WRS,agriculture,WF-026/037,Warehouse certification,WR register,warehouse audit,periodic,fines/imprisonment,REG-0006,SRC-0061;SRC-0062,86
REG-0008,Fisheries Act No.22 of 2011,2011,In force,Department of Fisheries,Fisheries & aquaculture management,agriculture,WF-019 (livestock/aquaculture),Fishing/aquaculture licence,catch reports,inspection,periodic,fines,REG-0009,SRC-0098,82
REG-0009,Animal Health Act No.27 of 2010,2010,In force,Dept of Veterinary Services,Animal disease control; movement; import/export,agriculture,WF-009 (vet),Veterinary permits,disease reports,vet inspection,per movement,fines,REG-0010,SRC-0100,80
REG-0010,Cooperative Societies Act No.20 of 1998,1998,In force,Registrar of Cooperatives,Formation/registration/regulation of cooperatives,agriculture,WF-007/031/035,Cooperative registration,annual returns,inspection,annual,deregistration,REG-0104,SRC-0099,82
REG-0011,Tobacco Act No.13 of 1994,1994,In force,Tobacco Board of Zambia,Production/marketing/export of tobacco,agriculture,WF-030,Grower/trader licence,returns,inspection,annual,fines,REG-0002,SRC-0100,72
REG-0012,Minerals Regulation Commission Act No.14 of 2024 (MRCA),2024,In force (repealed MMDA 2015),Minerals Regulation Commission,Mining rights; licensing; monitoring; royalties,mining,WF-M01/M02/M06/M13,Exploration/mining/processing licences,production/royalty returns,mine inspection,per licence term,fines/revocation,REG-0013;REG-0106,SRC-0064,84
