req_id,statement,capability,workflows,stakeholders,regulations,technologies,integrations,findings,verification,acceptance_criteria,priority,risk_if_omitted,confidence
REQ-F-001,The system shall record farmer identity plot and household profile data,CAP-001,WF-001;WF-002,STK-028;STK-001,REG-0024,TECH-130,INT-032,F-0053,Test,Farmer record created with mandatory fields and unique ID,Must,No farmer baseline; advisory/finance impossible,72
REQ-F-002,The system shall capture and store field/plot boundaries as spatial features,CAP-002,WF-003,STK-028;STK-034,,TECH-047;TECH-059,INT-057,F-0075,Test,Polygon stored with CRS and area computed,Must,No spatial basis for monitoring,70
REQ-F-003,The system shall record soil test results against plots,CAP-003,WF-004,STK-028;STK-034,,TECH-098,INT-085,F-0053,Test,Soil test linked to plot with date/parameters,Should,Poor fertility decisions,64
REQ-F-004,The system shall allow creation of crop plans and seasonal calendars,CAP-004,WF-005,STK-028;STK-034,,TECH-026,,F-0053,Test,Crop plan with crop season and activities saved,Should,No planning basis,66
REQ-F-005,The system shall record planting and field activity events,CAP-005,WF-006,STK-028,,TECH-131,INT-127,F-0033,Test,Activity event with type date plot stored,Must,No operational record,66
REQ-F-006,The system shall track input usage (seed fertiliser agrochemicals) per plot,CAP-006,WF-007;WF-011,STK-028;STK-032,REG-0016,TECH-131,,F-0053,Test,Input record with quantity/type/date; batch traceable,Must,No input traceability/compliance,66
REQ-F-007,The system shall capture pest and disease observations with optional images,CAP-007,WF-013;WF-015,STK-028;STK-034,,TECH-015,INT-091,F-0075,Test,Observation stored; image classified when model available,Should,Late pest response,66
REQ-F-008,The system shall record spraying and chemical treatment applications,CAP-008,WF-016,STK-028,REG-0016,TECH-073,,F-0053,Test,Application record with product/rate/date,Should,Non-compliance with chemical rules,60
REQ-F-009,The system shall generate irrigation schedules from soil and weather inputs,CAP-009,WF-012;WF-019,STK-028;STK-029,REG-0019,TECH-098;TECH-026,INT-048,F-0076,Test,Schedule produced from inputs and displayed,Should,Water inefficiency,62
REQ-F-010,The system shall record harvest quantities and dates per plot,CAP-012,WF-025,STK-028,,TECH-131,,F-0033,Test,Harvest record stored and aggregated,Must,No yield baseline,66
REQ-F-011,The system shall estimate yields from records and remote-sensing indices,CAP-013,WF-025,STK-028;STK-029,,TECH-060;TECH-070,INT-066,F-0075,Analysis,Estimate produced with confidence indicator,Could,Weaker forecasting,60
REQ-F-012,The system shall track stored commodities quantities and storage conditions,CAP-015,WF-026;WF-027,STK-031;STK-055,,TECH-103,INT-085,F-0067,Test,Stock and condition records maintained,Must,Storage losses undetected,64
REQ-F-013,The system shall issue and manage warehouse receipts,CAP-016,WF-027,STK-031;STK-060,REG-0012,TECH-130,INT-034,F-0067,Test,Receipt issued with unique ID and status lifecycle,Must,No WRS-based finance,64
REQ-F-014,The system shall support commodity listing and buyer-seller matching,CAP-018,WF-028;WF-029,STK-031;STK-030,REG-0012,TECH-130,INT-034,F-0054,Test,Listing created and matched trades recorded,Should,No market linkage,62
REQ-F-015,The system shall disseminate market price information to farmers,CAP-019,WF-029,STK-028;STK-030,,TECH-150,INT-091,F-0054,Test,Price message delivered via SMS/USSD,Should,Information asymmetry,64
REQ-F-016,The system shall manage cooperative membership records,CAP-021,WF-030,STK-031;STK-028,REG-0013,TECH-130,,F-0053,Test,Member records with roles maintained,Should,Weak aggregation,60
REQ-F-017,The system shall deliver extension advisory content to farmers,CAP-023,WF-038;WF-039,STK-034;STK-028,,TECH-001;TECH-021,INT-091;INT-092,F-0055,Test,Advisory delivered and receipt logged,Should,Low advisory reach,64
REQ-F-018,The system shall provide weather-based advisories per location,CAP-024,WF-019;WF-038,STK-028;STK-034,,TECH-026,INT-047;INT-048,F-0076,Test,Location advisory generated from weather source,Should,Climate risk unmanaged,62
REQ-F-019,The system shall compute farmer credit scores from recorded data,CAP-025,WF-037,STK-028;STK-060,REG-0031,TECH-024,INT-003,F-0054,Analysis,Score computed with explainable inputs,Could,Limited finance access,58
REQ-F-020,The system shall record input-credit issuance and repayment,CAP-026,WF-037,STK-028;STK-069,REG-0031,TECH-130,INT-003;INT-004,F-0054,Test,Loan and repayment ledger maintained,Should,Credit mismanagement,60
REQ-F-021,The system shall administer input subsidy/e-voucher redemption,CAP-038,WF-007,STK-001;STK-028,REG-0013,TECH-150,INT-032;INT-027,F-0053,Test,Voucher issued redeemed and reconciled,Should,Subsidy leakage,62
REQ-F-022,The system shall disburse payments to farmers via mobile money,CAP-039,WF-032;WF-037,STK-028;STK-062,REG-0031,TECH-150,INT-003;INT-006,F-0054,Test,Payment initiated and confirmation stored,Must,No payout mechanism,66
REQ-F-023,The system shall maintain livestock registry and identification,CAP-030,WF-041,STK-028;STK-035,REG-0016,TECH-102,,F-0053,Test,Animal record with ID and attributes,Could,No livestock baseline,56
REQ-F-024,The system shall record livestock health and vaccination events,CAP-031,WF-041,STK-035;STK-028,REG-0016,TECH-131,,F-0053,Test,Health event stored per animal/herd,Could,Disease spread risk,56
REQ-F-025,The system shall manage poultry batch cycles and records,CAP-034,WF-041,STK-028,,TECH-131,,F-0053,Test,Batch lifecycle records maintained,Could,Weak poultry mgmt,52
REQ-F-026,The system shall record traceability/provenance data along produce chains,CAP-037,WF-028;WF-029,STK-031;STK-036,REG-0016,TECH-032,INT-147,F-0054,Test,Chain-of-custody events linked to lot,Could,No provenance,56
REQ-F-027,The system shall record training and attendance events,CAP-040,WF-039,STK-034;STK-028,,TECH-131,,F-0055,Test,Training event and attendees recorded,Could,No capacity tracking,54
REQ-F-028,The system shall manage mechanisation/equipment bookings,CAP-011,WF-024,STK-028;STK-032,,TECH-101,INT-104,F-0053,Test,Booking created with schedule and status,Could,Mechanisation gaps,58
REQ-F-029,The system shall manage exploration and drillhole data,CAP-041,WF-M01,STK-039;STK-047,REG-0009,TECH-047,INT-030,F-0056,Test,Drillhole and log records stored,Must,No exploration basis,64
REQ-F-030,The system shall support geological and resource model data storage,CAP-042;CAP-044,WF-M02,STK-047;STK-039,REG-0009,TECH-047,,F-0056,Test,Model artefacts and estimates versioned,Should,Weak resource basis,62
REQ-F-031,The system shall record survey and geodetic control data,CAP-045,WF-M03,STK-047;STK-039,,TECH-047;TECH-081,INT-056,F-0056,Test,Survey points/control stored with CRS,Should,Positional errors,60
