rel_id,subject_entity,relationship,object_entity,cardinality,domain,evidence
IREL-001,DENT-001,owns,DENT-002,1-to-many,DOM-AGRI,F-0053
IREL-002,DENT-002,contains,DENT-003,1-to-many,DOM-AGRI,F-0053
IREL-003,DENT-003,grows,DENT-004,1-to-many,DOM-AGRI,F-0053
IREL-004,DENT-001,keeps,DENT-005,1-to-many,DOM-AGRI,F-0053
IREL-005,DENT-001,member-of,DENT-006,many-to-many,DOM-AGRI,F-0053
IREL-006,DENT-004,yields,INFO-006,1-to-many,DOM-AGRI,F-0033
IREL-007,DENT-007,owns,DENT-016,1-to-many,DOM-MINE,F-0056
IREL-008,DENT-007,has,DENT-008,1-to-many,DOM-MINE,F-0056
IREL-009,DENT-007,has,DENT-010,1-to-many,DOM-MINE,F-0056
IREL-010,DENT-007,has,DENT-032,1-to-many,DOM-MINE,F-0056
IREL-011,DENT-009,has,DENT-031,1-to-1,DOM-CONS,F-0060
IREL-012,DENT-009,located-at,DENT-010,1-to-many,DOM-CONS,F-0060
IREL-013,DENT-014,owns,DENT-011,1-to-many,DOM-INV,F-0057
IREL-014,DENT-011,undergoes,INFO-023,1-to-many,DOM-INV,F-0057
IREL-015,DENT-012,carries,DENT-020,1-to-many,DOM-LOG,F-0069
IREL-016,DENT-020,fulfils,DENT-019,many-to-1,DOM-LOG,F-0067
IREL-017,DENT-016,issued-by,DENT-017,many-to-1,DOM-CMP,F-0073
IREL-018,DENT-016,held-by,DENT-014,many-to-1,DOM-CMP,F-0073
IREL-019,DENT-024,produces,DENT-028,1-to-many,DOM-CMP,F-0060
IREL-020,DENT-025,triggers,DENT-028,many-to-many,DOM-CMP,F-0058
IREL-021,DENT-021,settled-by,DENT-022,1-to-many,DOM-FIN,F-0079
IREL-022,DENT-022,belongs-to,DENT-019,many-to-1,DOM-FIN,F-0054
IREL-023,DENT-018,for,DENT-004,many-to-1,DOM-TRADE,F-0067
IREL-024,DENT-018,held-by,DENT-001,many-to-1,DOM-TRADE,F-0067
IREL-025,DENT-013,is-a,DENT-001,1-to-1,DOM-IAM,F-0077
IREL-026,DENT-015,belongs-to,DENT-013,many-to-1,DOM-IAM,F-0077
IREL-027,DENT-014,employs,DENT-013,1-to-many,DOM-HR,F-0079
IREL-028,DENT-026,for,DENT-010,many-to-1,DOM-ENV,F-0059
IREL-029,DENT-027,collected-from,DENT-010,many-to-1,DOM-ENV,F-0059
IREL-030,DENT-027,yields,INFO-025,1-to-1,DOM-ENV,F-0056
IREL-031,DENT-023,stored-at,DENT-010,many-to-1,DOM-INV,F-0067
IREL-032,DENT-030,between,DENT-014,many-to-many,DOM-PROC,F-0079
IREL-033,DENT-029,attached-to,DENT-016,many-to-many,DOM-DOC,F-0079
IREL-034,DENT-024,of,DENT-011,many-to-1,DOM-CMP,F-0060
IREL-035,DENT-016,governs,DENT-007,1-to-1,DOM-CMP,F-0085
IREL-036,DENT-019,between,DENT-014,many-to-many,DOM-TRADE,F-0054
IREL-037,DENT-032,for,DENT-007,many-to-1,DOM-MINE,F-0056
IREL-038,DENT-028,submitted-to,DENT-017,many-to-1,DOM-CMP,F-0073
