source_id,organization,country,website,type,authority_level,industry_coverage,geographic_coverage,available_datasets,api_availability,download_formats,update_frequency,licensing,reliability_tier,expected_research_themes,verification_status
MSR-001,Zambia Statistics Agency (ZamStats),Zambia,zamstats.gov.zm,National statistics office,Official,Cross-industry,National/Province/District,"Census 2022; LCMS; Labour Force Survey; National Accounts; CPI",Unknown,"PDF; XLSX; some CSV",Annual/periodic,Official-open (confirm),1,"Demographics; Economy; Provincial/District; Employment; Poverty",catalog-unverified
MSR-002,Bank of Zambia (BoZ),Zambia,boz.zm,Central bank,Official,Finance/Macro,National,"Monetary stats; FX rates; BoP; financial stability",Unknown,"PDF; XLSX",Monthly/Quarterly,Official-open (confirm),1,"Economy; Financial inclusion; Trade",catalog-unverified
MSR-003,Ministry of Finance & National Planning,Zambia,mofnp.gov.zm,Government ministry,Official,Macro/Policy,National,"Budgets; 8NDP; debt; economic reports",Unknown,PDF,Annual,Official-open (confirm),1,"Economy; Policy; National priorities",catalog-unverified
MSR-004,ZICTA (ICT Authority),Zambia,zicta.zm,Sector regulator,Official,Telecoms/ICT,National/Province,"ICT survey; coverage; subscriptions",Unknown,PDF,Annual,Official-open (confirm),1,"Telecoms; Internet; Digital maturity",catalog-unverified
MSR-005,Energy Regulation Board (ERB),Zambia,erb.org.zm,Sector regulator,Official,Energy,National,"Energy sector report; tariffs",Unknown,PDF,Annual,Official-open (confirm),1,"Energy",catalog-unverified
MSR-006,ZESCO Limited,Zambia,zesco.co.zm,State utility,Official,Energy,National,"Generation; grid; reliability",Unknown,PDF,Periodic,Corporate (confirm),1,"Energy; Infrastructure",catalog-unverified
MSR-007,Rural Electrification Authority (REA),Zambia,rea.org.zm,Government agency,Official,Energy,National/District,"Rural electrification master plan; progress",Unknown,PDF,Periodic,Official-open (confirm),1,"Energy; Provincial/District",catalog-unverified
MSR-008,Road Development Agency (RDA),Zambia,rda.org.zm,Government agency,Official,Transport,National/Province,"Road network inventory; condition",Unknown,"PDF; possibly GIS",Periodic,Official-open (confirm),1,"Infrastructure-transport",catalog-unverified
MSR-009,Road Transport & Safety Agency (RTSA),Zambia,rtsa.org.zm,Government agency,Official,Transport,National,"Vehicle registration; safety stats",Unknown,PDF,Annual,Official-open (confirm),1,"Infrastructure-transport",catalog-unverified
MSR-010,Water Resources Management Authority (WARMA),Zambia,warma.org.zm,Sector regulator,Official,Water,National/Basin,"Water resources; basins; permits",Unknown,PDF,Periodic,Official-open (confirm),1,"Water resources; Climate",catalog-unverified
MSR-011,NWASCO,Zambia,nwasco.org.zm,Sector regulator,Official,Water/Sanitation,National/Utility,"Urban water & sanitation sector report",Unknown,PDF,Annual,Official-open (confirm),1,"Water; Infrastructure",catalog-unverified
MSR-012,Zambia Environmental Management Agency (ZEMA),Zambia,zema.org.zm,Sector regulator,Official,Environment,National,"EIA; environmental monitoring; SoE reports",Unknown,PDF,Periodic,Official-open (confirm),1,"Climate/Environment; Water",catalog-unverified
